Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[596] Application util under 95%: 00
[597] Application util under 95%: 00
[598] Application util under 95%: 00
[599] Application util under 95%: 00


Shutting down NVML... Success
Complete 
Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 146.3040, Temp: 41
[001] Power: 146.3040, Temp: 41
[002] Power: 146.3040, Temp: 41
[003] Power: 146.3040, Temp: 41
[004] Power: 146.3040, Temp: 41
[005] Power: 146.3040, Temp: 41
[006] Power: 146.3040, Temp: 41
[007] Power: 146.3040, Temp: 41
[008] Power: 146.3040, Temp: 41
[009] Power: 146.3040, Temp: 41
[010] Power: 146.3040, Temp: 41
[011] Power: 146.3040, Temp: 41
[012] Power: 146.3040, Temp: 41
[013] Power: 146.3040, Temp: 41
[014] Power: 146.3040, Temp: 41
[015] Power: 146.3040, Temp: 41
[016] Power: 146.3040, Temp: 41
[017] Power: 146.3040, Temp: 41
[018] Power: 146.3040, Temp: 41
[019] Power: 146.3040, Temp: 41
[020] Power: 146.4000, Temp: 41
[021] Power: 146.3040, Temp: 41
[022] Power: 146.3040, Temp: 41
[023] Power: 146.3040, Temp: 41
[024] Power: 146.3040, Temp: 41
[025] Power: 146.3040, Temp: 41
[026] Power: 146.3040, Temp: 41
[027] Power: 146.3040, Temp: 41
[028] Power: 146.3040, Temp: 41
[029] Power: 146.3040, Temp: 41
[030] Power: 146.4000, Temp: 41
[031] Power: 146.4000, Temp: 41
[032] Power: 146.4000, Temp: 41
[033] Power: 146.3040, Temp: 41
[034] Power: 146.3040, Temp: 41
[035] Power: 146.3040, Temp: 41
[036] Power: 146.3040, Temp: 41
[037] Power: 146.3040, Temp: 41
[038] Power: 146.3040, Temp: 41
[039] Power: 146.3040, Temp: 41
[040] Power: 146.3040, Temp: 41
[041] Power: 146.3040, Temp: 41
[042] Power: 146.3040, Temp: 41
[043] Power: 146.3040, Temp: 41
[044] Power: 146.3040, Temp: 41
[045] Power: 146.3040, Temp: 41
[046] Power: 146.4000, Temp: 41
[047] Power: 146.4000, Temp: 41
[048] Power: 146.3040, Temp: 41
[049] Power: 146.3040, Temp: 41
[050] Power: 146.3040, Temp: 41
[051] Power: 146.3040, Temp: 41
[052] Power: 146.4000, Temp: 41
[053] Power: 146.3040, Temp: 41
[054] Power: 146.3040, Temp: 41
[055] Power: 146.3040, Temp: 41
[056] Power: 146.3040, Temp: 41
[057] Power: 146.3040, Temp: 41
[058] Power: 146.3040, Temp: 41
[059] Power: 146.3040, Temp: 41
[060] Power: 146.3040, Temp: 41
[061] Power: 146.3040, Temp: 41
[062] Power: 146.3040, Temp: 41
[063] Power: 146.3040, Temp: 41
[064] Power: 146.3040, Temp: 41
[065] Power: 146.3040, Temp: 41
[066] Power: 146.3040, Temp: 41
[067] Power: 146.3040, Temp: 41
[068] Power: 146.3040, Temp: 41
[069] Power: 146.3040, Temp: 41
[070] Power: 146.3040, Temp: 41
[071] Power: 146.3040, Temp: 41
[072] Power: 146.3040, Temp: 41
[073] Power: 146.3040, Temp: 41
[074] Power: 146.4000, Temp: 41
[075] Power: 146.3040, Temp: 41
[076] Power: 146.4000, Temp: 41
[077] Power: 146.3040, Temp: 41
[078] Power: 146.3040, Temp: 41
[079] Power: 146.3040, Temp: 41
[080] Power: 146.3040, Temp: 41
[081] Power: 146.3040, Temp: 41
[082] Power: 146.3040, Temp: 41
[083] Power: 146.3040, Temp: 41
[084] Power: 146.3040, Temp: 41
[085] Power: 146.3040, Temp: 41
[086] Power: 146.3040, Temp: 41
[087] Power: 146.4000, Temp: 41
[088] Power: 146.3040, Temp: 41
[089] Power: 146.3040, Temp: 41
[090] Power: 146.4000, Temp: 41
[091] Power: 146.3040, Temp: 41
[092] Power: 146.3040, Temp: 41
[093] Power: 146.3040, Temp: 41
[094] Power: 146.4000, Temp: 41
[095] Power: 146.3040, Temp: 41
[096] Power: 146.3040, Temp: 41
[097] Power: 146.3040, Temp: 41
[098] Power: 146.3040, Temp: 41
[099] Power: 146.3040, Temp: 41
[100] Power: 146.3040, Temp: 41
[101] Power: 146.3040, Temp: 41
[102] Power: 146.3040, Temp: 41
[103] Power: 146.3040, Temp: 41
[104] Power: 146.3040, Temp: 41
[105] Power: 146.3040, Temp: 41
[106] Power: 146.3040, Temp: 41
[107] Power: 146.3040, Temp: 41
[108] Power: 146.3040, Temp: 41
[109] Power: 146.4000, Temp: 41
[110] Power: 146.3040, Temp: 41
[111] Power: 146.3040, Temp: 41
[112] Power: 146.3040, Temp: 41
[113] Power: 146.4000, Temp: 41
[114] Power: 146.3040, Temp: 41
[115] Power: 146.3040, Temp: 41
[116] Power: 146.3040, Temp: 41
[117] Power: 146.3040, Temp: 41
[118] Power: 146.3040, Temp: 41
[119] Power: 146.3040, Temp: 41
[120] Power: 146.3040, Temp: 41
[121] Power: 146.3040, Temp: 41
[122] Power: 146.3040, Temp: 41
[123] Power: 146.4000, Temp: 41
[124] Power: 146.3040, Temp: 41
[125] Power: 146.3040, Temp: 41
[126] Power: 146.4000, Temp: 41
[127] Power: 146.3040, Temp: 41
[128] Power: 146.3040, Temp: 41
[129] Power: 146.3040, Temp: 41
[130] Power: 146.3040, Temp: 41
[131] Power: 146.4000, Temp: 41
[132] Power: 146.3040, Temp: 41
[133] Power: 146.4000, Temp: 41
[134] Power: 146.3040, Temp: 41
[135] Power: 146.3040, Temp: 41
[136] Power: 146.3040, Temp: 41
[137] Power: 146.3040, Temp: 41
[138] Power: 146.3040, Temp: 41
[139] Power: 146.4000, Temp: 41
[140] Power: 146.3040, Temp: 41
[141] Power: 146.3040, Temp: 41
[142] Power: 146.3040, Temp: 41
[143] Power: 146.3040, Temp: 41
[144] Power: 146.3040, Temp: 41
[145] Power: 146.3040, Temp: 41
[146] Power: 146.4000, Temp: 41
[147] Power: 146.3040, Temp: 41
[148] Power: 146.3040, Temp: 41
[149] Power: 146.3040, Temp: 41
[150] Power: 146.3040, Temp: 41
[151] Power: 146.3040, Temp: 41
[152] Power: 146.3040, Temp: 41
[153] Power: 146.3040, Temp: 41
[154] Power: 146.3040, Temp: 41
[155] Power: 146.3040, Temp: 41
[156] Power: 146.3040, Temp: 41
[157] Power: 146.3040, Temp: 41
[158] Power: 146.3040, Temp: 41
[159] Power: 146.3040, Temp: 41
[160] Power: 146.3040, Temp: 41
[161] Power: 146.3040, Temp: 41
[162] Power: 146.3040, Temp: 41
[163] Power: 146.4000, Temp: 41
[164] Power: 146.3040, Temp: 41
[165] Power: 146.3040, Temp: 41
[166] Power: 146.3040, Temp: 41
[167] Power: 146.4000, Temp: 41
[168] Power: 146.3040, Temp: 41
[169] Power: 146.3040, Temp: 41
[170] Power: 146.3040, Temp: 41
[171] Power: 146.3040, Temp: 41
[172] Power: 146.3040, Temp: 41
[173] Power: 146.3040, Temp: 41
[174] Power: 146.3040, Temp: 41
[175] Power: 146.3040, Temp: 41
[176] Power: 146.3040, Temp: 41
[177] Power: 146.3040, Temp: 41
[178] Power: 146.3040, Temp: 41
[179] Power: 146.3040, Temp: 41
[180] Power: 146.3040, Temp: 41
[181] Power: 146.3040, Temp: 41
[182] Power: 146.3040, Temp: 41
[183] Power: 146.3040, Temp: 41
[184] Power: 146.3040, Temp: 41
[185] Power: 146.3040, Temp: 41
[186] Power: 146.4000, Temp: 41
[187] Power: 146.4000, Temp: 41
[188] Power: 146.3040, Temp: 41
[189] Power: 146.3040, Temp: 41
[190] Power: 145.8160, Temp: 41
[191] Power: 146.3040, Temp: 41
[192] Power: 146.3040, Temp: 41
[193] Power: 146.4000, Temp: 41
[194] Power: 146.3040, Temp: 41
[195] Power: 146.3040, Temp: 41
[196] Power: 146.3040, Temp: 41
[197] Power: 146.3040, Temp: 41
[198] Power: 146.3040, Temp: 41
[199] Power: 146.4000, Temp: 41
[200] Power: 146.3040, Temp: 41
[201] Power: 146.3040, Temp: 41
[202] Power: 146.3040, Temp: 41
[203] Power: 146.3040, Temp: 41
[204] Power: 146.3040, Temp: 41
[205] Power: 146.3040, Temp: 41
[206] Power: 146.3040, Temp: 41
[207] Power: 146.3040, Temp: 41
[208] Power: 146.3040, Temp: 41
[209] Power: 146.3040, Temp: 41
[210] Power: 146.4000, Temp: 41
[211] Power: 146.3040, Temp: 41
[212] Power: 146.4000, Temp: 41
[213] Power: 146.3040, Temp: 41
[214] Power: 146.3040, Temp: 41
[215] Power: 146.4000, Temp: 41
[216] Power: 146.3040, Temp: 41
[217] Power: 146.4000, Temp: 41
[218] Power: 146.3040, Temp: 41
[219] Power: 146.3040, Temp: 41
[220] Power: 146.3040, Temp: 41
[221] Power: 146.3040, Temp: 41
[222] Power: 146.4000, Temp: 41
[223] Power: 146.3040, Temp: 41
[224] Power: 146.3040, Temp: 41
[225] Power: 146.3040, Temp: 41
[226] Power: 146.3040, Temp: 41
[227] Power: 146.3040, Temp: 41
[228] Power: 146.3040, Temp: 41
[229] Power: 146.3040, Temp: 41
[230] Power: 146.3040, Temp: 41
[231] Power: 146.3040, Temp: 41
[232] Power: 146.4000, Temp: 41
[233] Power: 146.3040, Temp: 41
[234] Power: 146.3040, Temp: 41
[235] Power: 146.4000, Temp: 41
[236] Power: 146.3040, Temp: 41
[237] Power: 146.3040, Temp: 41
[238] Power: 146.3040, Temp: 41
[239] Power: 146.4000, Temp: 41
[240] Power: 146.3040, Temp: 41
[241] Power: 146.3040, Temp: 41
[242] Power: 146.3040, Temp: 41
[243] Power: 146.3040, Temp: 41
[244] Power: 146.3040, Temp: 41
[245] Power: 146.3040, Temp: 41
[246] Power: 146.3040, Temp: 41
[247] Power: 146.3040, Temp: 41
[248] Power: 146.3040, Temp: 41
[249] Power: 146.4000, Temp: 41
[250] Power: 146.4000, Temp: 41
[251] Power: 146.4000, Temp: 41
[252] Power: 146.3040, Temp: 41
